Date,Close
5/11/2018,97.7
5/14/2018,98.03
5/15/2018,97.32
5/16/2018,97.15
5/17/2018,96.18
5/18/2018,96.36
5/21/2018,97.6
5/22/2018,97.5
5/23/2018,98.66
5/24/2018,98.31
5/25/2018,98.36
5/29/2018,98.01
5/30/2018,98.95
5/31/2018,98.84
6/1/2018,100.79
6/4/2018,101.67
6/5/2018,102.19
6/6/2018,102.49
6/7/2018,100.88
6/8/2018,101.63
6/11/2018,101.05
6/12/2018,101.31
6/13/2018,100.85
6/14/2018,101.42
6/15/2018,100.13
6/18/2018,100.86
6/19/2018,100.86
6/20/2018,101.87
6/21/2018,101.14
6/22/2018,100.41
6/25/2018,98.39
6/26/2018,99.08
6/27/2018,97.54
6/28/2018,98.63
6/29/2018,98.61
7/2/2018,100.01
7/3/2018,99.05
7/5/2018,99.76
7/6/2018,101.16
7/9/2018,101.85
7/10/2018,102.12
7/11/2018,101.98
7/12/2018,104.19
7/13/2018,105.43
7/16/2018,104.91
7/17/2018,105.95
7/18/2018,105.12
7/19/2018,104.4
7/20/2018,106.27
7/23/2018,107.97
7/24/2018,107.66
7/25/2018,110.83
7/26/2018,109.62
7/27/2018,107.68
7/30/2018,105.37
7/31/2018,106.08
8/1/2018,106.28
8/2/2018,107.57
8/3/2018,108.04
8/6/2018,108.13
8/7/2018,108.88
8/8/2018,109.49
8/9/2018,109.67
8/10/2018,109
8/13/2018,108.21
8/14/2018,109.56
8/15/2018,107.66
8/16/2018,107.64
8/17/2018,107.58
8/20/2018,106.87
8/21/2018,105.98
8/22/2018,107.06
8/23/2018,107.56
8/24/2018,108.4
8/27/2018,109.6
8/28/2018,110.26
8/29/2018,112.02
8/30/2018,111.95
8/31/2018,112.33
9/4/2018,111.71
9/5/2018,108.49
9/6/2018,108.74
9/7/2018,108.21
9/10/2018,109.38
9/11/2018,111.24
9/12/2018,111.71
9/13/2018,112.91
9/14/2018,113.37
9/17/2018,112.14
9/18/2018,113.21
9/19/2018,111.7
9/20/2018,113.57
9/21/2018,114.26
9/24/2018,114.67
9/25/2018,114.45
9/26/2018,113.98
9/27/2018,114.41
9/28/2018,114.37
10/1/2018,115.61
10/2/2018,115.15
10/3/2018,115.17
10/4/2018,112.79
10/5/2018,112.13
10/8/2018,110.85
10/9/2018,112.26
10/10/2018,106.16
10/11/2018,105.91
10/12/2018,109.57
10/15/2018,107.6
10/16/2018,111
10/17/2018,110.71
10/18/2018,108.5
10/19/2018,108.66
10/22/2018,109.63
10/23/2018,108.1
10/24/2018,102.32
10/25/2018,108.3
10/26/2018,106.96
10/29/2018,103.85
10/30/2018,103.73
10/31/2018,106.81
11/1/2018,105.92
11/2/2018,106.16
11/5/2018,107.51
11/6/2018,107.72
11/7/2018,111.96
11/8/2018,111.75
11/9/2018,109.57
11/12/2018,106.87
11/13/2018,106.94
11/14/2018,104.97
11/15/2018,107.28
11/16/2018,108.29
11/19/2018,104.62
11/20/2018,101.71
11/21/2018,103.11
11/23/2018,103.07
11/26/2018,106.47
11/27/2018,107.14
11/28/2018,111.12
11/29/2018,110.19
11/30/2018,110.89
12/3/2018,112.09
12/4/2018,108.52
12/6/2018,109.19
12/7/2018,104.82
12/10/2018,107.59
12/11/2018,108.59
12/12/2018,109.08
12/13/2018,109.45
12/14/2018,106.03
12/17/2018,102.89
12/18/2018,103.97
12/19/2018,103.69
12/20/2018,101.51
12/21/2018,98.23
12/24/2018,94.13
12/26/2018,100.56
12/27/2018,101.18
12/28/2018,100.39
12/31/2018,101.57
1/2/2019,101.12
1/3/2019,97.4
1/4/2019,101.93
1/7/2019,102.06
1/8/2019,102.8
1/9/2019,104.27
1/10/2019,103.6
1/11/2019,102.8
1/14/2019,102.05
1/15/2019,105.01
1/16/2019,105.38
1/17/2019,106.12
1/18/2019,107.71
1/22/2019,105.68
1/23/2019,106.71
1/24/2019,106.2
1/25/2019,107.17
1/28/2019,105.08
1/29/2019,102.94
1/30/2019,106.38
1/31/2019,104.43
2/1/2019,102.78
2/4/2019,105.74
2/5/2019,107.22
2/6/2019,106.03
2/7/2019,105.27
2/8/2019,105.67
2/11/2019,105.25
2/12/2019,106.89
2/13/2019,106.81
2/14/2019,106.9
2/15/2019,108.22
2/19/2019,108.17
2/20/2019,107.15
2/21/2019,109.41
2/22/2019,110.97
2/25/2019,111.59
2/26/2019,112.36
2/27/2019,112.17
2/28/2019,112.03
3/1/2019,112.53
3/4/2019,112.26
3/5/2019,111.7
3/6/2019,111.75
3/7/2019,110.39
3/8/2019,110.51
3/11/2019,112.83
3/12/2019,113.62
3/13/2019,114.5
3/14/2019,114.59
3/15/2019,115.91
3/18/2019,117.57
3/19/2019,117.65
3/20/2019,117.52
3/21/2019,120.22
3/22/2019,117.05
3/25/2019,117.66
3/26/2019,117.91
3/27/2019,116.77
3/28/2019,116.93
3/29/2019,117.94
4/1/2019,119.02
4/2/2019,119.19
4/3/2019,119.97
4/4/2019,119.36
4/5/2019,119.89
4/8/2019,119.93
4/9/2019,119.28
4/10/2019,120.19
4/11/2019,120.33
4/12/2019,120.95
4/15/2019,121.05
4/16/2019,120.77
4/17/2019,121.77
4/18/2019,123.37
4/22/2019,123.76
4/23/2019,125.44
4/24/2019,125.01
4/25/2019,129.15
4/26/2019,129.89
4/29/2019,129.77
4/30/2019,130.6
5/1/2019,127.88
5/2/2019,126.21
5/3/2019,128.9
5/6/2019,128.15
5/7/2019,125.52
5/8/2019,125.51
